Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
Latvia,1881063.0,1882396.0,+0.07%,Europe,Northern Europe
Equatorial Guinea,1803545.0,1847549.0,+2.44%,Africa,Middle Africa
North Macedonia,1840233.0,1831802.0,−0.46%,Europe,Southern Europe
Kosovo[r],1717946.0,1700031.0,−1.04%,Europe,Southern Europe
Bahrain,1533459.0,1569666.0,+2.36%,Asia,Western Asia
Trinidad and Tobago,1495921.0,1502932.0,+0.47%,Americas,Caribbean
Timor-Leste,1369295.0,1384286.0,+1.09%,Asia,South-eastern Asia
Estonia,1350091.0,1367196.0,+1.27%,Europe,Northern Europe
Cyprus[s],1331370.0,1344976.0,+1.02%,Asia,Western Asia
Mauritius,1276130.0,1273588.0,−0.20%,Africa,Eastern Africa
Eswatini,1218917.0,1230506.0,+0.95%,Africa,Southern Africa
Djibouti,1137096.0,1152944.0,+1.39%,Africa,Eastern Africa
Fiji,919422.0,924145.0,+0.51%,Oceania,Melanesia
Réunion (France),871540.0,874883.0,+0.38%,Africa,Eastern Africa
Comoros,834188.0,850387.0,+1.94%,Africa,Eastern Africa
Guyana,821637.0,826353.0,+0.57%,Americas,South America
Solomon Islands,781066.0,800005.0,+2.42%,Oceania,Melanesia
Bhutan,780914.0,786385.0,+0.70%,Asia,Southern Asia
Macao (China)[t],704356.0,713912.0,+1.36%,Asia,Eastern Asia
Luxembourg,653313.0,665098.0,+1.80%,Europe,Western Europe
Montenegro,614648.0,633552.0,+3.08%,Europe,Southern Europe
Suriname,623164.0,628886.0,+0.92%,Americas,South America
Western Sahara (disputed),568739.0,579729.0,+1.93%,Africa,Northern Africa
Malta,528192.0,532956.0,+0.90%,Europe,Southern Europe
Maldives,524106.0,525994.0,+0.36%,Asia,Southern Asia
Cape Verde,519741.0,522331.0,+0.50%,Africa,Western Africa
Brunei,455370.0,458949.0,+0.79%,Asia,South-eastern Asia
Belize,402733.0,411106.0,+2.08%,Americas,Central America
Bahamas,397538.0,399440.0,+0.48%,Americas,Caribbean
Iceland,380356.0,387558.0,+1.89%,Europe,Northern Europe
Guadeloupe (France),384697.0,376517.0,−2.13%,Americas,Caribbean
Martinique (France),349459.0,346002.0,−0.99%,Americas,Caribbean
Vanuatu,313046.0,320409.0,+2.35%,Oceania,Melanesia
Mayotte (France),305269.0,316015.0,+3.52%,Africa,Eastern Africa
French Guiana (France),298306.0,303402.0,+1.71%,Americas,South America
New Caledonia (France),287123.0,289870.0,+0.96%,Oceania,Melanesia
Barbados,288318.0,282336.0,−2.07%,Americas,Caribbean
French Polynesia (France),280378.0,281118.0,+0.26%,Oceania,Polynesia
São Tomé and Príncipe,226305.0,230871.0,+2.02%,Africa,Middle Africa
Samoa,215261.0,216663.0,+0.65%,Oceania,Polynesia
Curaçao (Netherlands),185345.0,185427.0,+0.04%,Americas,Caribbean
Saint Lucia,178781.0,179285.0,+0.28%,Americas,Caribbean
Guam (United States),165180.0,166506.0,+0.80%,Oceania,Micronesia
Kiribati,130469.0,132530.0,+1.58%,Oceania,Micronesia
Seychelles,125522.0,127951.0,+1.94%,Africa,Eastern Africa
Grenada,116913.0,117081.0,+0.14%,Americas,Caribbean
Federated States of Micronesia,112114.0,112630.0,+0.46%,Oceania,Micronesia
Tonga,105042.0,104597.0,−0.42%,Oceania,Polynesia
Aruba (Netherlands),107782.0,107939.0,+0.15%,Americas,Caribbean
Jersey (United Kingdom),103490.0,103674.0,+0.18%,Europe,Northern Europe
Saint Vincent and the Grenadines,102046.0,101323.0,−0.71%,Americas,Caribbean
Antigua and Barbuda,92840.0,93316.0,+0.51%,Americas,Caribbean
U.S. Virgin Islands (United States),86507.0,85701.0,−0.93%,Americas,Caribbean
Isle of Man (United Kingdom),84132.0,84165.0,+0.04%,Europe,Northern Europe
Andorra,79705.0,80856.0,+1.44%,Europe,Southern Europe
Cayman Islands (United Kingdom),71591.0,73038.0,+2.02%,Americas,Caribbean
Dominica,66826.0,66510.0,−0.47%,Americas,Caribbean
Bermuda (United Kingdom),64749.0,64698.0,−0.08%,Americas,Northern America
Guernsey (United Kingdom),63725.0,64017.0,+0.46%,Europe,Northern Europe
